FID,TAZ,SUBRAD,RAD,RADNUM,SUBAREAS,PUMA,Shape_STAr,Shape_STLe
64,1483,440,Wheatland,43,27,SutterYuba,204281905.375,62481.7771797
65,1315,340,Tudor,34,30,SutterYuba,966276588.021,169967.654493
66,1480,440,Wheatland,43,26,SutterYuba,160186839.75,73416.3888299
67,1055,800,Colfax,81,36,Placer_1,452521595.188,160721.665035
68,1361,401,Plumas - Arboga,40,25,SutterYuba,32631652.875,27202.7339448
69,1475,401,Plumas - Arboga,40,25,SutterYuba,222685139.875,62900.3505926
70,840,740,Sheridan,79,36,Placer_1,784386166.125,142922.422618
71,1056,800,Colfax,81,36,Placer_1,271991459.813,84305.8326942
72,157,790,Foresthill,80,36,Placer_1,633618989.161,197816.762025
73,866,960,El Dorado High Country,94,40,El Dorado,6185315089.62,468533.673221
74,968,751,North Auburn,75,36,Placer_1,596013851.188,120168.329598
75,865,960,El Dorado High Country,94,40,El Dorado,4496607653.54,421851.190297
76,977,790,Foresthill,80,36,Placer_1,365828901.5,129637.435652
77,1370,440,Wheatland,43,26,SutterYuba,41919492.875,30689.6913334
78,1311,310,Meridian - Robbins,31,30,SutterYuba,2123054558.6,273230.478473
79,1397,402,Plumas - Arboga,40,27,SutterYuba,238364137.875,64967.6916699
80,1478,440,Wheatland,43,26,SutterYuba,30270505.625,23601.5445184
81,1396,401,Plumas - Arboga,40,25,SutterYuba,23953067.75,21310.5321487
82,1477,440,Wheatland,43,26,SutterYuba,95000941.6875,40260.3298541
83,1369,440,Wheatland,43,26,SutterYuba,29722662.625,23250.1299921
84,1367,440,Wheatland,43,26,SutterYuba,11579452.6875,15945.7858876
85,5,970,Gateway,97,0, ,6900299.3125,11812.0788388
86,975,752,North Auburn,75,36,Placer_1,113501304.563,57959.795121
87,1019,960,El Dorado High Country,94,40,El Dorado,1122763199.12,213307.088225
88,215,752,North Auburn,75,36,Placer_1,250608780.25,81761.0492004
89,1474,401,Plumas - Arboga,40,25,SutterYuba,259707164.484,82729.26471
90,1368,440,Wheatland,43,26,SutterYuba,39052636.0625,31209.1379911
91,966,790,Foresthill,80,36,Placer_1,229948960.188,87944.4622487
92,980,740,Sheridan,79,36,Placer_1,366770151.063,87266.1978968
93,32,302,South Sutter,30,30,SutterYuba,835638750.25,126629.031542
94,1395,470,Foothills,46,27,SutterYuba,2524700345.31,313625.733539
95,1394,470,Foothills,46,27,SutterYuba,3680078076.81,322171.556081
96,1481,740,Sheridan,79,36,Placer_1,708742007.688,131767.99281
97,3,970,Gateway,97,0, ,10903447.25,13562.6523844
98,861,960,El Dorado High Country,94,40,El Dorado,779223434.469,235475.469077
99,1391,462,Loma Rica,45,27,SutterYuba,226599106.438,99230.2710139
100,979,740,Sheridan,79,36,Placer_1,12954750.875,15454.0588388
101,967,751,North Auburn,75,36,Placer_1,325059663.125,91178.3574642
102,1393,462,Loma Rica,45,27,SutterYuba,1731649200.75,209542.856493
103,1392,462,Loma Rica,45,27,SutterYuba,181511638.938,64710.1622631
104,213,751,North Auburn,75,36,Placer_1,145522631.063,62733.6512433
105,969,752,North Auburn,75,36,Placer_1,68113450.75,43522.3191846
106,1390,462,Loma Rica,45,27,SutterYuba,561812992.063,143391.298058
107,31,302,South Sutter,30,30,SutterYuba,279074410.916,97363.5249173
108,1061,810,Placer High Country,82,36,Placer_1,8376876248.81,761461.817239
109,6,970,Gateway,97,0, ,10743278.75,13523.9814455
110,8,970,Gateway,97,0, ,9829996.75,13696.643105
111,1384,461,Loma Rica,45,27,SutterYuba,726177909.75,129381.329296
112,1383,461,Loma Rica,45,27,SutterYuba,284643287.563,100164.721221
113,1107,250,Antelope-North Highlands,7,13,Sac_1,30522377.0371,22866.1512249
114,1023,851,El Dorado Hills,85,40,El Dorado,131817070.284,60664.6984031
115,2,970,Gateway,97,0, ,8992008.625,11419.3603265
116,456,51,Orangevale,9,9,Sac_3,34351819.4385,24931.4771698
117,1,970,Gateway,97,0, ,10990014.1875,13589.2048146
118,457,51,Orangevale,9,9,Sac_3,42796513.8115,31466.2378507
119,1389,462,Loma Rica,45,27,SutterYuba,744463275.375,114301.479402
120,1303,330,Live Oak,33,28,SutterYuba,95878308.5,44599.3792449
121,425,43,Citrus Heights,8,12,Sac_2,27547129.209,23918.2860729
122,1473,61,Folsom,10,11,Sac_3,20205107.6484,19374.8418365
123,1302,330,Live Oak,33,28,SutterYuba,56353362,31579.4645501
124,859,911,Placerville,90,40,El Dorado,68653888.4609,43949.4188951
125,1300,330,Live Oak,33,30,SutterYuba,897829938.688,153033.682034
126,531,61,Folsom,10,11,Sac_3,17062278.502,18706.4558439
127,1306,320,Sutter,32,30,SutterYuba,2315996633.5,199807.155693
128,528,61,Folsom,10,11,Sac_3,28427379.3564,33869.2643022
129,1304,330,Live Oak,33,28,SutterYuba,80227224.25,46279.0471279
130,1103,911,Placerville,90,40,El Dorado,48926563.75,34462.4291373
131,1305,330,Live Oak,33,28,SutterYuba,22212087.4375,25647.2742187
132,1411,21,Rio Linda - Elverta,5,13,Sac_1,48023964.1592,28330.0574038
133,1060,810,Placer High Country,82,36,Placer_1,11785887064.1,584227.123279
134,324,250,Antelope-North Highlands,7,13,Sac_1,17063127.8193,17644.4413132
135,1301,330,Live Oak,33,30,SutterYuba,236235710.688,80507.0814006
136,1374,432,Beale,42,27,SutterYuba,839052848.75,181634.006697
137,322,250,Antelope-North Highlands,7,13,Sac_1,14592175.8389,16473.8248407
138,1408,21,Rio Linda - Elverta,5,13,Sac_1,23400660.042,19836.3084057
139,1388,463,Loma Rica,45,27,SutterYuba,293808406.75,111868.947166
140,1410,21,Rio Linda - Elverta,5,13,Sac_1,16449625.5137,16752.1716124
141,1382,461,Loma Rica,45,27,SutterYuba,120142839.688,57678.9498283
142,284,12,NW Vision Area,4,14,Sac_1,82521133.6758,37833.6451738
143,1387,463,Loma Rica,45,24,SutterYuba,113969710.188,58189.2183034
144,1386,463,Loma Rica,45,27,SutterYuba,65623494.25,49815.6605546
145,1404,12,NW Vision Area,4,14,Sac_1,41510770.0928,26477.153816
146,1406,11,NW Vision Area,4,16,Sac_1,26933267.4326,20907.1551725
147,4,970,Gateway,97,0, ,569155.9375,3301.14545562
148,1405,11,NW Vision Area,4,16,Sac_1,27011689.1621,20791.3812844
149,1375,432,Beale,42,27,SutterYuba,676635876.438,139971.21881
150,285,11,NW Vision Area,4,16,Sac_1,119763853.905,46600.8692048
151,1309,310,Meridian - Robbins,31,30,SutterYuba,287962712.125,92504.2108475
152,291,11,NW Vision Area,4,16,Sac_1,102626608.798,41987.4108901
153,1385,461,Loma Rica,45,24,SutterYuba,65922720.3125,38938.276971
154,1059,810,Placer High Country,82,36,Placer_1,2786603595.75,300012.437915
155,1022,851,El Dorado Hills,85,40,El Dorado,89843320.5576,49598.5823882
156,1035,890,Diamond Springs,89,40,El Dorado,111551693.267,58735.3801533
157,1292,363,Yuba City,35,30,SutterYuba,29446158.25,22601.2275035
158,848,851,El Dorado Hills,85,40,El Dorado,42408246.2236,26100.4033722
159,1293,363,Yuba City,35,30,SutterYuba,40053747.5,25296.8341434
160,1034,911,Placerville,90,40,El Dorado,23564988.5205,24626.763377
161,1307,320,Sutter,32,30,SutterYuba,591562339.5,136968.455032
162,863,42,Citrus Heights,8,12,Sac_2,16201797.0938,17652.7146815
163,431,41,Citrus Heights,8,12,Sac_2,18698673.4951,19040.3965557
164,1308,320,Sutter,32,30,SutterYuba,216103617.25,63336.4009614
165,1287,363,Yuba City,35,30,SutterYuba,57468057.8125,32488.1138563
166,429,41,Citrus Heights,8,12,Sac_2,12758913.0254,17286.8012274
167,1313,340,Tudor,34,30,SutterYuba,600208288.813,116703.437427
168,435,41,Citrus Heights,8,12,Sac_2,20620362.1641,21603.1499907
169,430,32,Antelope-North Highlands,7,13,Sac_1,17973404.0986,22005.8707009
170,307,21,Rio Linda - Elverta,5,13,Sac_1,13706916.1201,16292.253081
171,1372,431,Beale,42,27,SutterYuba,92366894.875,47335.6597872
172,308,21,Rio Linda - Elverta,5,13,Sac_1,8518295.32227,12109.5817264
173,1291,363,Yuba City,35,30,SutterYuba,18883921.1875,19773.6823816
174,1486,432,Beale,42,27,SutterYuba,306122633.438,74035.7674105
175,1413,31,Antelope-North Highlands,7,13,Sac_1,13265471.9824,15398.8592047
176,1240,361,Yuba City,35,29,SutterYuba,14183120.6875,15546.4953903
177,443,43,Citrus Heights,8,12,Sac_2,17770015.249,18835.1420751
178,1243,361,Yuba City,35,29,SutterYuba,23424058.5,26942.799626
179,320,31,Antelope-North Highlands,7,13,Sac_1,13590410.1113,15474.2002008
180,1295,363,Yuba City,35,29,SutterYuba,21845114.75,22708.4945255
181,321,31,Antelope-North Highlands,7,13,Sac_1,22392509.8496,19839.3046847
182,1294,363,Yuba City,35,29,SutterYuba,27297383.1875,23402.4090502
183,325,31,Antelope-North Highlands,7,13,Sac_1,24934910.46,22198.7111472
184,1139,861,Cameron Park-Shingle Springs,86,40,El Dorado,8123573.2793,12640.1706966
185,1288,363,Yuba City,35,29,SutterYuba,37599638.0625,25495.7862912
186,1100,861,Cameron Park-Shingle Springs,86,40,El Dorado,32864336.8291,26982.6695568
187,328,32,Antelope-North Highlands,7,13,Sac_1,11037549.168,15301.9559576
188,1490,363,Yuba City,35,29,SutterYuba,10621145.1875,17143.6698985
189,1289,363,Yuba City,35,30,SutterYuba,9185296.75,12249.2847499
190,1026,861,Cameron Park-Shingle Springs,86,40,El Dorado,52500517.5283,45740.4411225
191,1325,450,Marysville,44,24,SutterYuba,19441446.0625,22976.079014
192,152,511,Woodland,51,19,Yolo,8968529.42285,14009.1998766
193,450,43,Citrus Heights,8,12,Sac_2,10843387.4756,14987.3583595
194,1337,450,Marysville,44,24,SutterYuba,8664138.375,12003.5676636
195,1335,450,Marysville,44,24,SutterYuba,3449862.125,9380.26313953
196,451,51,Orangevale,9,9,Sac_2,5379945.96875,10688.5849264
197,1336,450,Marysville,44,24,SutterYuba,6865174.1875,10979.0059334
198,891,43,Citrus Heights,8,12,Sac_2,3882315.64648,8688.54845563
199,449,43,Citrus Heights,8,12,Sac_2,13239335.9111,16204.5725771
200,1373,431,Beale,42,27,SutterYuba,54353843.625,31376.202181
201,1338,450,Marysville,44,24,SutterYuba,12052589.3125,17731.0174179
202,1506,861,Cameron Park-Shingle Springs,86,40,El Dorado,30045040.3604,28093.8069255
203,1326,450,Marysville,44,24,SutterYuba,23165163.75,22261.559555
204,530,61,Folsom,10,11,Sac_3,18351392.2207,20393.3285068
205,1310,310,Meridian - Robbins,31,30,SutterYuba,1468990329.81,192354.76461
206,1407,11,NW Vision Area,4,16,Sac_1,28024425.3867,21813.222281
207,432,41,Citrus Heights,8,12,Sac_2,11699142.0654,15230.8817145
208,1290,363,Yuba City,35,30,SutterYuba,19933903.75,20487.7987639
209,1341,450,Marysville,44,24,SutterYuba,6457482.3125,10652.6195351
210,153,511,Woodland,51,19,Yolo,18417859.0186,17538.6291008
211,1507,890,Diamond Springs,89,40,El Dorado,116972301.927,47826.9249491
212,1485,432,Beale,42,27,SutterYuba,498039955.25,106723.748389
213,1011,890,Diamond Springs,89,40,El Dorado,194875141.26,68557.9037144
214,1299,363,Yuba City,35,29,SutterYuba,22702208.25,22291.3668673
215,1403,12,NW Vision Area,4,14,Sac_1,21633995.8574,18711.2611493
216,992,542,Esparto - Capay,54,17,Yolo,19934393.5332,19152.8573868
217,1242,361,Yuba City,35,29,SutterYuba,7435715.25,10783.6203076
218,1241,361,Yuba City,35,29,SutterYuba,4188216.8125,8679.11472024
219,279,12,NW Vision Area,4,14,Sac_1,28060355.4121,21201.3179828
220,309,23,Rio Linda - Elverta,5,13,Sac_1,10459966.1104,15373.7479776
221,1378,433,Beale,42,27,SutterYuba,431893270.063,104023.333118
222,1371,431,Beale,42,27,SutterYuba,64354455.875,34265.9808505
223,1028,862,Cameron Park-Shingle Springs,86,40,El Dorado,317148558.99,118924.413524
224,1013,890,Diamond Springs,89,40,El Dorado,109404732.173,61395.8358688
225,1331,450,Marysville,44,24,SutterYuba,10757611.9375,14412.7233042
226,280,11,NW Vision Area,4,16,Sac_1,27061231.7695,20802.4219335
227,1339,450,Marysville,44,24,SutterYuba,2683554.6875,7519.34883755
228,306,23,Rio Linda - Elverta,5,13,Sac_1,12967618.1689,15128.4727622
229,1340,450,Marysville,44,24,SutterYuba,5647626.125,9936.01071196
230,30,970,Gateway,97,0, ,11580381.375,12613.7806472
231,301,23,Rio Linda - Elverta,5,13,Sac_1,10732389.6875,14553.4612686
232,1296,363,Yuba City,35,29,SutterYuba,9581623.3125,14758.3300549
233,302,23,Rio Linda - Elverta,5,13,Sac_1,16999112.0547,19523.9255682
234,296,22,Rio Linda - Elverta,5,13,Sac_1,8283716.94336,14981.8400111
235,1244,361,Yuba City,35,29,SutterYuba,6939095.4375,10967.1737038
236,297,22,Rio Linda - Elverta,5,13,Sac_1,17295665.6943,18293.962241
237,1245,361,Yuba City,35,29,SutterYuba,5541169.5625,10373.1326219
238,1246,361,Yuba City,35,29,SutterYuba,4475874.3125,9904.30140534
239,295,22,Rio Linda - Elverta,5,13,Sac_1,13917628.1299,19482.8398778
240,141,511,Woodland,51,19,Yolo,10877669.5537,14603.3749599
241,1247,361,Yuba City,35,29,SutterYuba,5085754,10015.4629279
242,1329,450,Marysville,44,24,SutterYuba,4414628.4375,10495.3132975
243,143,511,Woodland,51,19,Yolo,13202084.9824,15597.3416012
244,1333,450,Marysville,44,24,SutterYuba,4168928.875,9887.41109888
245,156,511,Woodland,51,19,Yolo,6517280.67969,13010.5975516
246,1298,363,Yuba City,35,29,SutterYuba,11201825.9375,17152.9636116
247,1514,511,Woodland,51,17,Yolo,48380469.9258,28785.7543648
248,536,63,Folsom,10,11,Sac_3,36078474.1104,26471.5158335
249,1297,363,Yuba City,35,29,SutterYuba,16279003.875,17575.6980006
250,452,43,Citrus Heights,8,9,Sac_2,15407460.8975,18476.8188988
251,1398,363,Yuba City,35,29,SutterYuba,4654316.3125,8878.38828257
252,1381,433,Beale,42,27,SutterYuba,69255743.75,35576.7024922
253,441,44,Citrus Heights,8,12,Sac_2,15590700.457,18713.0742832
254,1328,450,Marysville,44,24,SutterYuba,5316542.9375,9108.78393557
255,1501,851,El Dorado Hills,85,40,El Dorado,65232391.2686,35694.7704832
256,1327,450,Marysville,44,24,SutterYuba,10533946.75,16291.4767518
257,326,31,Antelope-North Highlands,7,13,Sac_1,15396929.0986,17020.8962955
258,1250,362,Yuba City,35,29,SutterYuba,8057235.875,11686.9487704
259,315,31,Antelope-North Highlands,7,13,Sac_1,20758996.0742,19067.8123826
260,1330,450,Marysville,44,24,SutterYuba,4168780.75,8034.33645326
261,819,542,Esparto - Capay,54,17,Yolo,7891177.09375,13540.475999
262,1343,422,Linda - Olivehurst,41,27,SutterYuba,20284916.3125,21439.1411581
263,433,41,Citrus Heights,8,12,Sac_2,18716125.1113,23106.3175697
264,7,970,Gateway,97,0, ,10703733.3125,13409.7319861
265,459,51,Orangevale,9,9,Sac_3,21462777.3037,18723.1181216
266,1334,450,Marysville,44,24,SutterYuba,3752398.5625,8414.22091207
267,1286,364,Yuba City,35,29,SutterYuba,9231761.9375,12270.2918748
268,455,51,Orangevale,9,9,Sac_3,28576555.5596,21384.045406
269,1248,362,Yuba City,35,29,SutterYuba,10580507.0625,12911.2723824
270,458,51,Orangevale,9,9,Sac_3,16248961.9453,18035.4146596
271,1285,364,Yuba City,35,29,SutterYuba,9090298.25,12180.9618826
272,1041,43,Citrus Heights,8,9,Sac_2,10690105.999,14478.564539
273,1249,362,Yuba City,35,29,SutterYuba,4052217.0625,8236.45033325
274,991,542,Esparto - Capay,54,17,Yolo,72333873.9561,39377.1103616
275,1489,364,Yuba City,35,29,SutterYuba,8641816.75,11869.8298689
276,444,43,Citrus Heights,8,12,Sac_2,22971860.083,20800.7202908
277,1284,364,Yuba City,35,29,SutterYuba,13592207.375,15679.2499526
278,529,61,Folsom,10,11,Sac_3,19930163.3467,21412.0874276
279,1283,364,Yuba City,35,29,SutterYuba,39451744.375,25460.6198002
280,1332,450,Marysville,44,24,SutterYuba,4036447.5,8485.50481162
281,440,44,Citrus Heights,8,12,Sac_2,15161915.3945,17900.0376621
282,1348,422,Linda - Olivehurst,41,27,SutterYuba,9099635.6875,13030.2693117
283,327,32,Antelope-North Highlands,7,13,Sac_1,29875939.7422,22835.8231998
284,1254,362,Yuba City,35,29,SutterYuba,7287919.9375,13932.6405871
285,305,23,Rio Linda - Elverta,5,13,Sac_1,13918184.751,15801.4697319
286,1342,422,Linda - Olivehurst,41,27,SutterYuba,10237292.625,15158.1002742
287,123,511,Woodland,51,19,Yolo,6844768.08398,10600.7896328
288,1111,63,Folsom,10,11,Sac_3,23171656.3203,22279.2798487
289,1251,362,Yuba City,35,29,SutterYuba,2911497.1875,7530.17935471
290,124,511,Woodland,51,19,Yolo,7150943.95703,10610.9482842
291,1058,800,Colfax,81,36,Placer_1,653196405.438,187737.965111
292,820,542,Esparto - Capay,54,17,Yolo,82675550.79,39479.3450037
293,125,511,Woodland,51,19,Yolo,6980778.7793,10563.9722105
294,225,890,Diamond Springs,89,40,El Dorado,877749012.079,176797.777482
295,117,511,Woodland,51,19,Yolo,6992102.26172,10583.4861341
296,298,22,Rio Linda - Elverta,5,13,Sac_1,16161452.46,18868.3767998
297,851,861,Cameron Park-Shingle Springs,86,40,El Dorado,72353906.8438,34737.399281
298,1095,851,El Dorado Hills,85,40,El Dorado,73787962.1738,36143.5073605
299,1014,890,Diamond Springs,89,40,El Dorado,412090591.492,112770.852854
300,118,511,Woodland,51,19,Yolo,8565804.06738,12156.218543
301,119,511,Woodland,51,19,Yolo,6725415.83887,13219.4320061
302,140,511,Woodland,51,19,Yolo,14012354.2871,15915.6045278
303,316,31,Antelope-North Highlands,7,13,Sac_1,11418055.8936,16361.6483616
304,278,12,North Natomas,3,13,Sac_1,23934314.8672,20309.744335
305,304,23,Rio Linda - Elverta,5,13,Sac_1,18408064.957,17947.4731813
306,1402,11,North Natomas,3,16,Sac_1,13683144.2139,15543.4363287
307,1401,11,North Natomas,3,14,Sac_1,13788767.001,15938.0335111
308,1113,63,Folsom,10,11,Sac_3,30398041.668,28593.4522848
309,453,51,Orangevale,9,9,Sac_2,5398347.58984,10664.7017136
310,277,12,North Natomas,3,1,Sac_4,21250328.5898,18592.2716046
311,1400,12,North Natomas,3,1,Sac_4,19068117.582,18583.5966059
312,535,62,Folsom,10,11,Sac_3,11847202.1064,14666.1969084
313,275,12,North Natomas,3,1,Sac_4,14351033.9971,19836.4408997
314,276,12,North Natomas,3,1,Sac_4,15050912.0215,16420.9839659
315,1012,890,Diamond Springs,89,40,El Dorado,192119583.26,89750.7912779
316,1094,851,El Dorado Hills,85,40,El Dorado,33199191.1348,27205.4306808
317,1505,862,Cameron Park-Shingle Springs,86,40,El Dorado,14386348.415,26722.6173061
318,534,62,Folsom,10,11,Sac_3,10175934.4141,16098.5474785
319,300,22,Rio Linda - Elverta,5,13,Sac_1,29099144.3965,24194.9893271
320,303,23,Rio Linda - Elverta,5,13,Sac_1,26015230.1719,20187.6446006
321,122,511,Woodland,51,19,Yolo,6893613.39453,10474.510283
322,121,511,Woodland,51,19,Yolo,6968175.83203,10578.1175703
323,299,22,Rio Linda - Elverta,5,13,Sac_1,33456934.5625,27037.9070205
324,120,511,Woodland,51,19,Yolo,6945616.5332,10545.2238549
325,116,511,Woodland,51,19,Yolo,7004432.93262,10574.2628447
326,115,511,Woodland,51,19,Yolo,12412933.4727,14894.1221136
327,387,32,Antelope-North Highlands,7,9,Sac_1,13000747.8262,17683.5736319
328,145,511,Woodland,51,19,Yolo,19204870.4297,17484.0166453
329,318,31,Antelope-North Highlands,7,13,Sac_1,6982728.01563,10550.1524055
330,434,41,Citrus Heights,8,9,Sac_2,12234360.6768,14972.695613
331,892,52,Orangevale,9,9,Sac_3,13513358.6523,19057.4146712
332,319,31,Antelope-North Highlands,7,13,Sac_1,15487237.8867,26932.5715157
333,959,62,Folsom,10,11,Sac_3,4235673.99805,8531.95425811
334,818,542,Esparto - Capay,54,17,Yolo,623260612.647,114374.884918
335,1018,951,Georgetown,93,40,El Dorado,398157541.813,103685.608691
336,1312,310,Meridian - Robbins,31,30,SutterYuba,1408932718.08,216181.941761
337,973,752,North Auburn,75,32,Placer_1,68888021.9375,47771.6961637
338,974,752,North Auburn,75,32,Placer_1,58200768.125,39491.190298
339,533,62,Folsom,10,11,Sac_3,5332044.31055,10177.7823213
340,214,761,Auburn,76,32,Placer_1,76812341.0029,39370.1988122
341,461,52,Orangevale,9,9,Sac_3,13918736.3496,15817.6037057
342,864,960,El Dorado High Country,94,40,El Dorado,1904476704.39,228384.979028
343,462,52,Orangevale,9,9,Sac_3,13998563.5107,15869.3286636
344,970,752,North Auburn,75,32,Placer_1,10895678.4375,14818.9573101
345,447,112,Fair Oaks,13,9,Sac_2,26959524.7764,20743.0491408
346,1482,740,Lincoln,73,36,Placer_1,195151442,85877.7039613
347,999,870,Pilot Hill,87,40,El Dorado,306120189.361,103891.919195
348,465,52,Orangevale,9,9,Sac_3,25091011.7266,19769.0009766
349,436,44,Citrus Heights,8,12,Sac_2,17505658.8311,17021.860634
350,463,52,Orangevale,9,9,Sac_3,5304970.60938,10290.4707053
351,972,752,North Auburn,75,32,Placer_1,13782405.8125,14726.7168837
352,971,752,North Auburn,75,32,Placer_1,11130626,16690.7293682
353,446,43,Citrus Heights,8,12,Sac_2,10619534.666,16661.4190458
354,890,43,Citrus Heights,8,12,Sac_2,3757141.05176,8065.70669712
355,889,43,Citrus Heights,8,12,Sac_2,3154505.32715,7354.53480968
356,445,43,Citrus Heights,8,12,Sac_2,16308167.2227,17857.5478735
357,961,762,Auburn,76,32,Placer_1,23261742.6875,19635.1631721
358,448,43,Citrus Heights,8,12,Sac_2,11710814.5088,15013.925979
359,965,761,Auburn,76,36,Placer_1,215461784.991,73865.8936681
360,439,44,Citrus Heights,8,12,Sac_2,14585976.292,16631.3704352
361,841,720,Lincoln,73,36,Placer_1,155100030.281,59258.8848878
362,1020,952,Georgetown,93,40,El Dorado,247964329.143,80204.7299692
363,1493,63,Folsom,10,11,Sac_3,24289102.0332,21570.1723766
364,538,63,Folsom,10,11,Sac_3,9613714.38281,13998.7492609
365,333,32,Antelope-North Highlands,7,13,Sac_1,10701320.3096,14251.5391611
366,287,11,North Natomas,3,14,Sac_1,14591095.5732,17080.0997227
367,212,761,Auburn,76,32,Placer_1,6557989.375,11913.6068861
368,286,11,North Natomas,3,16,Sac_1,12909967.1514,15548.8686626
369,28,970,Gateway,97,0, ,12744887.75,14218.08804
370,1494,63,Folsom,10,11,Sac_3,9273181.62305,15548.1160771
371,129,512,Woodland,51,19,Yolo,9471887.2793,13711.500372
372,27,970,Gateway,97,0, ,11457125.9375,13649.3591735
373,1112,63,Folsom,10,11,Sac_3,10309552.7363,22896.7481567
374,130,512,Woodland,51,19,Yolo,8165994.03223,11594.4253679
375,960,761,Auburn,76,32,Placer_1,3586325.1875,9245.99437101
376,131,512,Woodland,51,19,Yolo,7084049.58496,10634.8810968
377,963,761,Auburn,76,32,Placer_1,11088088.3906,14677.0885239
378,133,512,Woodland,51,19,Yolo,14027228.667,15864.5224483
379,132,512,Woodland,51,19,Yolo,7086494.21387,10678.572059
380,964,761,Auburn,76,32,Placer_1,13376540.9063,15443.2612103
381,134,512,Woodland,51,19,Yolo,13983112.3447,15848.5910901
382,29,970,Gateway,97,0, ,8473275.375,12599.9715367
383,146,512,Woodland,51,19,Yolo,22305100.874,20122.5472778
384,1513,33,Antelope-North Highlands,7,13,Sac_1,22383928.6992,21776.5035628
385,537,62,Folsom,10,11,Sac_3,11199820.9482,14188.4419526
386,1492,62,Folsom,10,11,Sac_3,17248756.4502,17559.0350887
387,1457,720,Lincoln,73,36,Placer_1,152533942.093,54837.9880855
388,1099,861,Cameron Park-Shingle Springs,86,40,El Dorado,38376903.0313,26368.2362687
389,981,720,Lincoln,73,36,Placer_1,27569378.0869,26218.1914574
390,1456,720,Lincoln,73,36,Placer_1,24376854.0127,25250.9399236
391,438,44,Citrus Heights,8,9,Sac_2,9753425.01465,13394.5075832
392,1234,12,North Natomas,3,1,Sac_4,13549667.7168,17519.779276
393,1399,12,North Natomas,3,1,Sac_4,10690692.8691,14838.5674383
394,1529,720,Lincoln,73,36,Placer_1,24961671.0908,25917.6043151
395,148,571,Yolo Causeway,57,17,Yolo,422568667.19,105846.480652
396,147,512,Woodland,51,19,Yolo,159807924.312,63184.4645548
397,1511,720,Lincoln,73,34,Placer_1,114665258.274,48893.8752806
398,1515,512,Woodland,51,19,Yolo,27866136.0986,21099.5761705
399,1144,571,Yolo Causeway,57,23,Yolo,125995709.08,59943.4832709
400,1454,720,Lincoln,73,34,Placer_1,336431782.545,84383.2688799
401,1143,571,Yolo Causeway,57,23,Yolo,75811627.2959,61787.2899271
402,945,761,Auburn,76,36,Placer_1,244104709.771,75144.5342554
403,290,11,NW Vision Area,4,16,Sac_1,89841494.7129,42808.6231834
404,540,63,Folsom,10,11,Sac_3,11858054.3984,17992.6436185
405,930,761,Auburn,76,32,Placer_1,9844708.61133,20109.5214596
406,442,44,Citrus Heights,8,9,Sac_2,11108014.0225,14085.0027491
407,464,52,Orangevale,9,9,Sac_3,27262077.9219,22564.9533848
408,33,302,South Sutter,30,30,SutterYuba,444398692.486,84364.5113609
409,853,862,Cameron Park-Shingle Springs,86,40,El Dorado,179721031.621,86521.6799866
410,1519,62,Folsom,10,11,Sac_3,3599557.73535,9073.06828649
411,1508,62,Folsom,10,11,Sac_3,12951010.2031,14309.0822019
412,962,762,Auburn,76,32,Placer_1,27111116.9199,26050.9232567
413,996,541,Esparto - Capay,54,17,Yolo,3645252511.96,421087.227827
414,546,62,Folsom,10,11,Sac_3,12910771.29,15800.3046757
415,822,561,Dunnigan - Knight's Landing,56,17,Yolo,223772666.671,75461.526428
416,1093,851,El Dorado Hills,85,40,El Dorado,21082983.832,20827.4287827
417,288,11,North Natomas,3,1,Sac_4,31742453.1592,25150.9847834
418,289,11,North Natomas,3,16,Sac_1,27894932.4072,21649.7852251
419,272,12,North Natomas,3,1,Sac_4,21698507.9824,18819.1893266
420,995,541,Esparto - Capay,54,17,Yolo,3470026570.53,316799.100533
421,271,12,North Natomas,3,13,Sac_1,24504006.5908,21274.1053244
422,312,81,North Sacramento,6,1,Sac_4,42496688.2285,26973.64307
423,870,940,Mt Aukum - Grizzly Flat,92,40,El Dorado,848023975.797,172346.378564
424,993,562,Dunnigan - Knight's Landing,56,17,Yolo,318045207.09,74132.7066343
425,310,81,North Sacramento,6,1,Sac_4,12935449.499,16196.8728499
426,311,81,North Sacramento,6,1,Sac_4,32580771.5361,24858.1487542
427,126,512,Woodland,51,19,Yolo,6984785.5752,10546.9829806
428,135,512,Woodland,51,19,Yolo,7003520.33301,10594.3045963
429,994,562,Dunnigan - Knight's Landing,56,17,Yolo,754810569.224,131714.037182
430,332,32,Antelope-North Highlands,7,13,Sac_1,15667471.5654,18736.3445828
431,437,44,Citrus Heights,8,9,Sac_2,10184785.9229,15292.0559338
432,831,562,Dunnigan - Knight's Landing,56,17,Yolo,1290086210.19,234186.635606
433,935,761,Auburn,76,32,Placer_1,4958026.42383,11990.9879437
434,386,32,Antelope-North Highlands,7,9,Sac_1,7715108.1377,11675.2979524
435,931,762,Auburn,76,32,Placer_1,15518563.3164,18523.3437887
436,887,32,Antelope-North Highlands,7,9,Sac_1,7048575.70215,10835.7806746
437,1118,62,Folsom,10,11,Sac_3,14337730.0889,17371.6889854
438,1455,720,Lincoln,73,36,Placer_1,19218267.0801,20661.0440826
439,127,512,Woodland,51,19,Yolo,5907997.44434,9693.34173741
